  alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  39.000   1.2658   0.42472   0.41791  -0.2434   0.0417   1.0000
  39.250   1.2698   0.42620   0.41942  -0.2463   0.0409   1.0000
  39.500   1.2735   0.42770   0.42095  -0.2492   0.0402   1.0000
  39.750   1.2773   0.42927   0.42256  -0.2519   0.0395   1.0000
  40.000   1.2809   0.43104   0.42437  -0.2546   0.0389   1.0000
  40.250   1.2844   0.43380   0.42718  -0.2569   0.0383   1.0000
  40.750   1.2909   0.43551   0.42892  -0.2633   0.0378   1.0000
 44.000   0.6803   0.44987   0.44548  -0.1414   0.0310   1.0000
  44.250   0.6798   0.45177   0.44742  -0.1426   0.0304   1.0000
  44.500   0.6792   0.45368   0.44936  -0.1439   0.0299   1.0000
  45.250   0.6767   0.45943   0.45522  -0.1478   0.0291   1.0000
  45.500   0.6758   0.46124   0.45707  -0.1491   0.0288   1.0000
  45.750   0.6748   0.46302   0.45888  -0.1504   0.0284   1.0000
  46.000   0.6738   0.46474   0.46064  -0.1516   0.0280   1.0000
  46.250   0.6728   0.46640   0.46234  -0.1529   0.0274   1.0000
  46.500   0.6717   0.46800   0.46397  -0.1542   0.0269   1.0000
  46.750   0.6706   0.46955   0.46557  -0.1554   0.0264   1.0000
  47.000   0.6694   0.47110   0.46716  -0.1566   0.0260   1.0000
  47.750   0.6653   0.47580   0.47195  -0.1604   0.0254   1.0000
  48.000   0.6639   0.47724   0.47343  -0.1616   0.0251   1.0000
  48.250   0.6624   0.47866   0.47488  -0.1629   0.0248   1.0000
  48.500   0.6608   0.48001   0.47628  -0.1641   0.0244   1.0000
  48.750   0.6593   0.48130   0.47761  -0.1653   0.0239   1.0000
  49.000   0.6577   0.48254   0.47888  -0.1665   0.0235   1.0000
  49.250   0.6560   0.48367   0.48005  -0.1677   0.0231   1.0000
  49.500   0.6543   0.48479   0.48120  -0.1689   0.0227   1.0000
  49.750   0.6525   0.48598   0.48243  -0.1701   0.0223   1.0000
  48.250   0.6624   0.47866   0.47488  -0.1629   0.0248   1.0000
  48.500   0.6608   0.48001   0.47628  -0.1641   0.0244   1.0000
  48.750   0.6593   0.48130   0.47761  -0.1653   0.0239   1.0000
  49.000   0.6577   0.48254   0.47888  -0.1665   0.0235   1.0000
  49.250   0.6560   0.48367   0.48005  -0.1677   0.0231   1.0000
  49.500   0.6543   0.48479   0.48120  -0.1689   0.0227   1.0000
  49.750   0.6525   0.48599   0.48243  -0.1701   0.0223   1.0000
  50.500   0.6467   0.48931   0.48585  -0.1737   0.0219   1.0000
  50.750   0.6447   0.49031   0.48689  -0.1749   0.0216   1.0000
  51.000   0.6427   0.49127   0.48789  -0.1760   0.0213   1.0000
  51.250   0.6406   0.49216   0.48881  -0.1772   0.0210   1.0000
  51.500   0.6385   0.49297   0.48965  -0.1784   0.0206   1.0000
  51.750   0.6363   0.49373   0.49045  -0.1795   0.0202   1.0000
  52.000   0.6341   0.49442   0.49118  -0.1807   0.0198   1.0000
  52.250   0.6318   0.49503   0.49183  -0.1818   0.0195   1.0000
  52.500   0.6295   0.49571   0.49254  -0.1829   0.0192   1.0000
  53.250   0.6222   0.49762   0.49454  -0.1863   0.0188   1.0000
  53.500   0.6197   0.49814   0.49509  -0.1874   0.0187   1.0000
  53.750   0.6172   0.49861   0.49561  -0.1885   0.0184   1.0000
  54.000   0.6147   0.49900   0.49603  -0.1896   0.0181   1.0000
  54.250   0.6121   0.49934   0.49640  -0.1907   0.0178   1.0000
